name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,1999-12-27,13'7 ºC,10'1 ºC,11'7 ºC,13.7,10.1,11.7,7.8,77.3,0.236 l/m2,100,8.33,rain,,,,51.6 m/s,248.4,1016.0,82.9,12.3,,,,,1999-12-27T08:36:47,1999-12-27T17:54:34,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08227099999,08224099999,08272099999,08226099999,08213099999,08219099999,08223099999,08215099999"
madrid,1999-10-07,20'8 ºC,13'1 ºC,16'6 ºC,20.8,13.1,16.6,10.3,67.1,0.787 l/m2,100,12.5,rain,,2.2,,17.1 m/s,92.5,1021.5,61.6,13.9,,,,,1999-10-07T08:16:35,1999-10-07T19:48:12,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08227099999,08224099999,08272099999,08221099999,08213099999,08219099999,08223099999,08215099999"
madrid,2015-02-23,13'2 ºC,4'8 ºC,9'5 ºC,13.2,3.5,8.6,4.7,72.4,0.087 l/m2,100,8.33,rain,,66.0,92.5,36.2 m/s,254.1,1016.6,58.5,16.9,148.6,12.9,7.0,,2015-02-23T07:57:56,2015-02-23T18:58:59,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,2001-06-04,30'9 ºC,14'3 ºC,23'7 ºC,28.8,14.3,23.1,2.5,28.0,0.0 l/m2,0,0.0,,,,,22.9 m/s,255.3,1021.4,11.0,11.6,,,,,2001-06-04T06:45:38,2001-06-04T21:40:50,0.44,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
madrid,2002-06-26,35'0 ºC,22'7 ºC,28'2 ºC,33.6,22.7,27.5,12.6,41.3,0.344 l/m2,100,8.33,rain,,,,34.6 m/s,125.8,1018.7,65.0,11.3,,,,,2002-06-26T06:46:04,2002-06-26T21:48:59,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
madrid,1987-10-08,22'2 ºC,11'1 ºC,17'3 ºC,22.2,11.1,17.3,9.4,63.5,0.0 l/m2,0,0.0,,,,,22.7 m/s,247.8,1015.7,40.1,12.2,,,,,1987-10-08T07:17:32,1987-10-08T18:46:45,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,1981-12-09,11'5 ºC,7'1 ºC,9'8 ºC,11.5,4.3,8.1,6.7,82.8,0.027 l/m2,100,4.17,rain,,,,33.1 m/s,235.1,1013.2,71.9,10.7,,,,,1981-12-09T08:26:05,1981-12-09T17:48:05,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08220099999,08215099999"
madrid,2017-02-09,10'3 ºC,-1'3 ºC,3'9 ºC,10.3,-3.1,3.5,-1.8,68.3,0.0 l/m2,0,0.0,,,14.0,,8.2 m/s,42.7,1021.7,85.7,22.0,117.3,10.1,5.0,,2017-02-09T08:15:32,2017-02-09T18:42:55,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08272099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
madrid,1978-02-13,8'4 ºC,-4'9 ºC,1'3 ºC,5.8,-4.9,-0.1,-3.9,71.4,0.0 l/m2,0,0.0,,,,,23.0 m/s,299.4,1012.9,20.9,10.1,,,,,1978-02-13T08:11:27,1978-02-13T18:47:11,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08227099999,08221099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,2007-01-23,8'3 ºC,1'9 ºC,4'6 ºC,4.8,-1.4,1.8,-2.8,60.6,0.845 l/m2,100,4.17,rain,,21.4,,24.5 m/s,283.5,1012.0,49.4,19.7,,,,,2007-01-23T08:31:57,2007-01-23T18:21:32,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
